recv	ack	#81,	sack	#89
send	data	#94,	winSize = 8
recv	ack	#81,	sack	#90
send	data	#95,	winSize = 8
recv	ack	#81,	sack	#91
send	data	#96,	winSize = 8
recv	ack	#82,	sack	#82
send	data	#97,	winSize = 8
recv	ack	#82,	sack	#92
send	data	#98,	winSize = 8
recv	ack	#82,	sack	#93
send	data	#99,	winSize = 8
recv	ack	#82,	sack	#94
send	data	#100,	winSize = 8
resnd	data	#83,	winSize = 8
recv	ack	#82,	sack	#96
send	data	#101,	winSize = 8
recv	ack	#82,	sack	#97
send	data	#102,	winSize = 8
recv	ack	#82,	sack	#99
send	data	#103,	winSize = 8
recv	ack	#82,	sack	#100
send	data	#104,	winSize = 8
recv	ack	#86,	sack	#83
send	data	#105,	winSize = 8
recv	ack	#86,	sack	#101
send	data	#106,	winSize = 8
recv	ack	#86,	sack	#86
recv	ack	#86,	sack	#103
send	data	#107,	winSize = 8
resnd	data	#87,	winSize = 8
recv	ack	#86,	sack	#104
send	data	#108,	winSize = 8
recv	ack	#86,	sack	#105
send	data	#109,	winSize = 8
recv	ack	#94,	sack	#87
send	data	#110,	winSize = 8
recv	ack	#94,	sack	#108
send	data	#111,	winSize = 8
recv	ack	#94,	sack	#110
send	data	#112,	winSize = 8
recv	ack	#94,	sack	#111
send	data	#113,	winSize = 8
resnd	data	#95,	winSize = 8
recv	ack	#94,	sack	#112
send	data	#114,	winSize = 8
recv	ack	#94,	sack	#113
send	data	#115,	winSize = 8
recv	ack	#97,	sack	#95
send	data	#116,	winSize = 8
recv	ack	#97,	sack	#114
send	data	#117,	winSize = 8
recv	ack	#97,	sack	#115
send	data	#118,	winSize = 8
recv	ack	#97,	sack	#116
send	data	#119,	winSize = 8
resnd	data	#98,	winSize = 8
recv	ack	#97,	sack	#117
send	data	#120,	winSize = 8
recv	ack	#97,	sack	#118
send	data	#121,	winSize = 8
recv	ack	#97,	sack	#119
send	data	#122,	winSize = 8
recv	ack	#101,	sack	#98
send	data	#123,	winSize = 8
recv	ack	#101,	sack	#120
send	data	#124,	winSize = 8
recv	ack	#101,	sack	#121
send	data	#125,	winSize = 8
recv	ack	#101,	sack	#122
send	data	#126,	winSize = 8
resnd	data	#102,	winSize = 8
recv	ack	#101,	sack	#123
send	data	#127,	winSize = 8
recv	ack	#101,	sack	#124
send	data	#128,	winSize = 8
recv	ack	#101,	sack	#125
send	data	#129,	winSize = 8
recv	ack	#101,	sack	#126
send	data	#130,	winSize = 8
